id_1,Question,id_2,Related_Question,Similarity,Tag_1,Tag_2
1398,i am on medicaid because of a back disability. i am 56 waiting on surgury almost a year. health is worse cigna wont pay. how do i get medicaid to help me. still waiting for approval from cigna meantime have to take morphine to help with pain. i am worse n,6394,is masturbation the reason for my premature ejaculation?,1.0,pain,masturbation
4265,how do i use a metered dose inhaler with a spacer?,1501,why are females afraid of intercourse? . female afraid of getting married because of intercourese? without any previous experience?,1.0,inhaler,sexual intercourse
4265,how do i use a metered dose inhaler with a spacer?,1635,is it safe to perform oral sex on my infected partner if there are no symptoms present?,1.0,inhaler,sexual intercourse
4265,how do i use a metered dose inhaler with a spacer?,1287,can taking two year old cough medician hurt you,1.0,inhaler,cough
4265,how do i use a metered dose inhaler with a spacer?,1117,how much acetaminophen is in one 10-325mg norco tab. i take 8 tabs a day,1.0,inhaler,acetaminophen
4265,how do i use a metered dose inhaler with a spacer?,3445,are shingles spread just by being in the same room as someone who has it,1.0,inhaler,shingles
4265,how do i use a metered dose inhaler with a spacer?,3446,are shingles spread just by being in the same room as someone who has it,1.0,inhaler,shingles
568,peeing alot back to back. okay so for like a week or so i will urinate and then 15 minutes or sooner i will feel like i have to urinate again. or i will leak a little in my pants. and not like 1 drip like a few. i am 21 years old and am in college and usu,875,can asthma get worse? . i've had asthma since i was fairly young and it went away for awhile but has been coming back and it's getting worse and worse. it's painful to breath sometimes and it's always shallow. could it be something other than asthma now?,1.0,urination,asthma
1398,i am on medicaid because of a back disability. i am 56 waiting on surgury almost a year. health is worse cigna wont pay. how do i get medicaid to help me. still waiting for approval from cigna meantime have to take morphine to help with pain. i am worse n,5095,what is the treatment for emphysema?,1.0,pain,emphysema
1398,i am on medicaid because of a back disability. i am 56 waiting on surgury almost a year. health is worse cigna wont pay. how do i get medicaid to help me. still waiting for approval from cigna meantime have to take morphine to help with pain. i am worse n,1953,can you help me understand why my boyfriend is not able to ejaculate?,1.0,pain,ejaculation
1398,i am on medicaid because of a back disability. i am 56 waiting on surgury almost a year. health is worse cigna wont pay. how do i get medicaid to help me. still waiting for approval from cigna meantime have to take morphine to help with pain. i am worse n,1739,can the tube that goes in your ear fall into the ear? if it can what should i do?,1.0,pain,ears
1398,i am on medicaid because of a back disability. i am 56 waiting on surgury almost a year. health is worse cigna wont pay. how do i get medicaid to help me. still waiting for approval from cigna meantime have to take morphine to help with pain. i am worse n,2107,has the company that makes prevacid lost their patent? isn???????¡¥t the drug about the same as nexium?,1.0,pain,drug
1398,i am on medicaid because of a back disability. i am 56 waiting on surgury almost a year. health is worse cigna wont pay. how do i get medicaid to help me. still waiting for approval from cigna meantime have to take morphine to help with pain. i am worse n,1609,can mixing vodka and crystal light drink mix be dangerous?,1.0,pain,drinking
568,peeing alot back to back. okay so for like a week or so i will urinate and then 15 minutes or sooner i will feel like i have to urinate again. or i will leak a little in my pants. and not like 1 drip like a few. i am 21 years old and am in college and usu,1671,i would like to increase my male breasts. . i found a page on here recently that said to increase your male breasts to use the palm of your hand and make a circular motion with your hand excersing the breasts. 50 times with each breasts. . i would like to,1.0,urination,breast
2916,do they really work to remove blackheads and how do they work?,725,in 1977 i had a pilonadil cyst removed. now i'm in a wheelchair and it has comeback. do i need surgery again?,1.0,acne,surgery
568,peeing alot back to back. okay so for like a week or so i will urinate and then 15 minutes or sooner i will feel like i have to urinate again. or i will leak a little in my pants. and not like 1 drip like a few. i am 21 years old and am in college and usu,5779,"how can i help my father understand that i can't ""just stop worrying"" because i have anxiety disorders?",1.0,urination,anxiety
568,peeing alot back to back. okay so for like a week or so i will urinate and then 15 minutes or sooner i will feel like i have to urinate again. or i will leak a little in my pants. and not like 1 drip like a few. i am 21 years old and am in college and usu,4964,how can i tell when i am most fertile?,1.0,urination,fertility
2916,do they really work to remove blackheads and how do they work?,97,are anti-wrinkle products sold over-the-counter effective?,1.0,acne,wrinkle
568,peeing alot back to back. okay so for like a week or so i will urinate and then 15 minutes or sooner i will feel like i have to urinate again. or i will leak a little in my pants. and not like 1 drip like a few. i am 21 years old and am in college and usu,5091,i use xonepex in my nebulizer for my emphysema. could i use a watered down solution of vicks vapor steam in my nebulizer. what would be the side effects in doing this? it would be a mild solution and not a replacement for my xonepex. i also use a cpap to ,1.0,urination,emphysema
568,peeing alot back to back. okay so for like a week or so i will urinate and then 15 minutes or sooner i will feel like i have to urinate again. or i will leak a little in my pants. and not like 1 drip like a few. i am 21 years old and am in college and usu,1950,should i worry if i am producing less ejaculate?,1.0,urination,ejaculation
599,when someone can't work due to sickness are they given an order or form? . so a member of my family claims that they can't work due to medical reasons. whenever asked every couple of weeks or months there's a new or different reason. if a doctor really or,6380,i am a hiv negative man married to a hiv positive woman. we would like to have a child. please advice.,1.0,family,hiv
4244,what other assisted reproductive technologies (art) are used to treat infertility?,3978,i have or think i have malaria when should i contact my doctor?,1.0,infertility,malaria
4244,what other assisted reproductive technologies (art) are used to treat infertility?,2566,i have diabets type2 am i eligable for medicaid. i cant afford my meds im on out of pocket,1.0,infertility,medicaid
2444,i have very oily skin. how can i treat it?,442,is having dental work done at a dental college a good alternative if you don???????¡¥t have good dental coverage?,1.0,skin,dental
2444,i have very oily skin. how can i treat it?,97,are anti-wrinkle products sold over-the-counter effective?,1.0,skin,wrinkle
2444,i have very oily skin. how can i treat it?,2637,what is the name of the barium study of the stomach,1.0,skin,stomach
2444,i have very oily skin. how can i treat it?,444,how long should a parent brush or help brush a child's teeth?,1.0,skin,tooth
2444,i have very oily skin. how can i treat it?,2261,i took vicodin for the first time post operatively for pain and it kept me awake at night. what is this called and why?,1.0,skin,pain
1532,when is a stint used to pass kidney stones,97,are anti-wrinkle products sold over-the-counter effective?,1.0,kidney stone,wrinkle
2916,do they really work to remove blackheads and how do they work?,6467,the symptoms looks like a medical emergency. consult an emergency room. let them do investigations like mri scan done for a quick diagnosis. other investigation can follow once management is initiated. hope this helps.,1.0,acne,stroke
599,when someone can't work due to sickness are they given an order or form? . so a member of my family claims that they can't work due to medical reasons. whenever asked every couple of weeks or months there's a new or different reason. if a doctor really or,442,is having dental work done at a dental college a good alternative if you don???????¡¥t have good dental coverage?,1.0,family,dental
2916,do they really work to remove blackheads and how do they work?,2637,what is the name of the barium study of the stomach,1.0,acne,stomach
6132,what is the possible cause for increased heart rate?,97,are anti-wrinkle products sold over-the-counter effective?,1.0,tachycardia,wrinkle
877,how do you decide what is a healthy size and weight?,2566,i have diabets type2 am i eligable for medicaid. i cant afford my meds im on out of pocket,1.0,weight,medicaid
3618,i have or think i have prostate cancer advanced or metastatic when should i contact my doctor?,1917,i am not able to increase my weight. my weight is about 138 pounds but i don't know how to achieve my goal to increase my weight to 150 pound what can i do?,1.0,prostate cancer,weight
3618,i have or think i have prostate cancer advanced or metastatic when should i contact my doctor?,158,my estimated gfr is 109 and hemoglobin a1c is 5. 8 what should i do? i'm guessing watch my sugar intake. . i'm 47 and not in any way over weight and currently being tested for an auto-immune disease.,1.0,prostate cancer,weight
3618,i have or think i have prostate cancer advanced or metastatic when should i contact my doctor?,97,are anti-wrinkle products sold over-the-counter effective?,1.0,prostate cancer,wrinkle
6229,i am experiencing headaches due to light sensitivity. why?,2637,what is the name of the barium study of the stomach,1.0,headache,stomach
1977,should i stop taking topamax if i'm going for allergy testing?,2162,can i get too many vitamins? if so what can happen?,1.0,allergy,vitamin
3618,i have or think i have prostate cancer advanced or metastatic when should i contact my doctor?,2637,what is the name of the barium study of the stomach,1.0,prostate cancer,stomach
6229,i am experiencing headaches due to light sensitivity. why?,442,is having dental work done at a dental college a good alternative if you don???????¡¥t have good dental coverage?,1.0,headache,dental
3618,i have or think i have prostate cancer advanced or metastatic when should i contact my doctor?,716,my girlfriend took 400mg ibuprofen this morning and 400mg tylenol at 6 est can she take either again? . migraines and a bit of a tooth ache still from a removed impacted premolar.,1.0,prostate cancer,tooth
877,how do you decide what is a healthy size and weight?,3978,i have or think i have malaria when should i contact my doctor?,1.0,weight,malaria
1882,can an antihistamine and amoxicillin be taken at the same time?,3978,i have or think i have malaria when should i contact my doctor?,1.0,amoxicillin,malaria
1882,can an antihistamine and amoxicillin be taken at the same time?,2566,i have diabets type2 am i eligable for medicaid. i cant afford my meds im on out of pocket,1.0,amoxicillin,medicaid
6229,i am experiencing headaches due to light sensitivity. why?,97,are anti-wrinkle products sold over-the-counter effective?,1.0,headache,wrinkle
2255,can the als challange cause an undiagnosed heart condition to appear?,3978,i have or think i have malaria when should i contact my doctor?,1.0,heart,malaria
2255,can the als challange cause an undiagnosed heart condition to appear?,2566,i have diabets type2 am i eligable for medicaid. i cant afford my meds im on out of pocket,1.0,heart,medicaid
1408,is dental extraction dangerous for a fifty year old,97,are anti-wrinkle products sold over-the-counter effective?,1.0,dental,wrinkle
3618,i have or think i have prostate cancer advanced or metastatic when should i contact my doctor?,1142,what are the odds my husband gets the same cancer his siter died of and his brother now has?,1.0,prostate cancer,cancer
4694,what are the symptoms and signs of food allergy?,442,is having dental work done at a dental college a good alternative if you don???????¡¥t have good dental coverage?,1.0,food allergy,dental
1977,should i stop taking topamax if i'm going for allergy testing?,3343,what types of ringworm are there? what are ringworm symptoms and signs?,1.0,allergy,ringworm
1977,should i stop taking topamax if i'm going for allergy testing?,3342,what types of ringworm are there? what are ringworm symptoms and signs?,1.0,allergy,ringworm
2194,how can my crock pot help me make fast healthy food?,3978,i have or think i have malaria when should i contact my doctor?,1.0,food,malaria
1977,should i stop taking topamax if i'm going for allergy testing?,2637,what is the name of the barium study of the stomach,1.0,allergy,stomach
2194,how can my crock pot help me make fast healthy food?,2566,i have diabets type2 am i eligable for medicaid. i cant afford my meds im on out of pocket,1.0,food,medicaid
5067,what tests are useful in the evaluation of diarrhea?,442,is having dental work done at a dental college a good alternative if you don???????¡¥t have good dental coverage?,1.0,diarrhea,dental
877,how do you decide what is a healthy size and weight?,2637,what is the name of the barium study of the stomach,1.0,weight,stomach
2916,do they really work to remove blackheads and how do they work?,3215,what is the significance of the amount of body area burned?,1.0,acne,burn
698,is bilirubin cancer. please i want to be informed if bilirubin is cancer,2637,what is the name of the barium study of the stomach,1.0,cancer,stomach
3317,what is the funniest youtube compilation video? . this is a spoof of kanye west snl backstage rant. the audio rant link here: <link> uyi slams imdontai gradeaundera and tyrone magnus in this shocking rant uyi rants about multi channel network reaction vid,2322,i take furosemide 20 mg and escitalopram 20 mg and warfarin 10 mg a day can this cause severe nose bleedings a day,1.0,reaction,nose
1977,should i stop taking topamax if i'm going for allergy testing?,1735,are there any types of blood pressure devices that are inserted inside of you invented? . any types of blood pressure checking devices that are inserted inside of you to check blood pressure? and by inserted inside i mean inserted permanetly inside of you,1.0,allergy,blood pressure
2444,i have very oily skin. how can i treat it?,1828,my 5-year-old often has the urge to urinate but barely goes at all. the doctor says he doesn't have a uti. what next?,0.9999998999999999,skin,urination
599,when someone can't work due to sickness are they given an order or form? . so a member of my family claims that they can't work due to medical reasons. whenever asked every couple of weeks or months there's a new or different reason. if a doctor really or,2589,i am a retired 71 male and i am a us resident since 01/01/11. i do not have insurance. what i should do? . i am in a general good healthy situation. no children to support.,0.9999998999999999,family,insurance
2916,do they really work to remove blackheads and how do they work?,1142,what are the odds my husband gets the same cancer his siter died of and his brother now has?,0.9999998999999999,acne,cancer
6132,what is the possible cause for increased heart rate?,2048,how does my menstrual cycle affect my sleep?,0.9999998999999999,tachycardia,period
599,when someone can't work due to sickness are they given an order or form? . so a member of my family claims that they can't work due to medical reasons. whenever asked every couple of weeks or months there's a new or different reason. if a doctor really or,444,how long should a parent brush or help brush a child's teeth?,0.9999998999999999,family,tooth
322,what guidelines are there for women who are planning or have had mesh surgery for prolapse?,2637,what is the name of the barium study of the stomach,0.9999998999999999,surgery,stomach
